root_id,cell_type,top_nt,side
720575940624402173,DNpe053,acetylcholine,left
720575940627055303,DNp53,acetylcholine,left
720575940631082808,MDN,acetylcholine,left
720575940623037720,DNge104,gaba,left
720575940629543409,DNg68,acetylcholine,left
720575940618666142,DNg33,acetylcholine,left
720575940638109668,DNg89,gaba,left
720575940630697078,DNg80,glutamate,left
720575940610610841,DNg26,serotonin,right
720575940618870881,DNpe009,acetylcholine,left
720575940608145026,DNpe027,acetylcholine,left
720575940619905916,DNge085,gaba,left
720575940625306603,DNge011,acetylcholine,left
720575940612014131,DNg02_a,serotonin,left
720575940620804566,DNge094,acetylcholine,left
720575940624877360,DNg102,gaba,left
720575940614843275,DNg82,acetylcholine,left
720575940611462885,DNg92_a,acetylcholine,left
720575940614730914,DNg75,acetylcholine,left
720575940626229337,DNge015,acetylcholine,left
720575940612058543,DNge145,acetylcholine,left
720575940632626402,DNge111,acetylcholine,left
720575940639159797,DNg51,acetylcholine,left
720575940611881139,DNge068,glutamate,left
720575940622579967,DNg29,acetylcholine,left
720575940621082111,DNge061,,left
720575940625187940,DNge091,acetylcholine,left
720575940621700789,DNg36_b,acetylcholine,left
720575940633228172,DNg48,acetylcholine,left
720575940637612974,DNge105,acetylcholine,left
720575940618519454,DNge025,acetylcholine,left
720575940625872688,DNg12_a,acetylcholine,left
720575940620156283,DNp30,serotonin,left
720575940624801771,DNpe040,acetylcholine,left
720575940621947653,DNg64,gaba,right
720575940610604078,DNge136,gaba,right
720575940620300308,DNg97,acetylcholine,right
720575940633228103,DNp30,serotonin,right
720575940628487153,DNge085,acetylcholine,right
720575940614129617,DNge019,acetylcholine,right
720575940625870640,DNg15,acetylcholine,right
720575940623338281,DNg98,gaba,right
720575940640325429,DNa06,acetylcholine,right
720575940632836675,DNp41,acetylcholine,right
720575940622204186,DNae003,acetylcholine,right
720575940632512156,DNpe038,acetylcholine,right
720575940603980256,oviDNb,acetylcholine,right
720575940621196037,DNpe044,acetylcholine,right
720575940641781133,DNg12_e,acetylcholine,right
720575940615958203,DNg12_a,acetylcholine,right
720575940605282406,DNg12_e,acetylcholine,right
720575940627419676,DNge034,glutamate,right
720575940615659521,DNge091,gaba,right
720575940614181585,DNg07,acetylcholine,right
720575940625642302,DNge020,acetylcholine,right
720575940612804606,DNg02_a,acetylcholine,right
720575940637530084,DNge001,acetylcholine,right
720575940627949589,DNp18,acetylcholine,right
720575940623582867,DNp46,acetylcholine,right
720575940604737708,DNa02,acetylcholine,right
720575940620380449,DNae002,acetylcholine,right
720575940625747812,DNp49,glutamate,right
720575940633095137,DNp71,acetylcholine,right
720575940623222712,DNg03,acetylcholine,right
720575940622929193,DNg36_a,acetylcholine,right
720575940647478148,DNg07,acetylcholine,right
720575940623899082,DNge094,serotonin,right
720575940623137212,DNge044,acetylcholine,left
720575940637424547,DNg06,acetylcholine,right
720575940626295396,DNg85,acetylcholine,right
720575940624154604,DNge087,gaba,right
720575940627087646,DNg74_b,gaba,right
720575940631469452,DNge134,glutamate,left
720575940631342073,DNge122,gaba,right
720575940631299855,DNg49,acetylcholine,right
720575940610173048,DNg28,acetylcholine,right
720575940646764579,DNge006,acetylcholine,left
720575940615323298,DNg72,glutamate,left
720575940624651189,DNge084,glutamate,left
720575940634525303,DNge071,gaba,left
720575940630665210,DNg28,gaba,left
720575940618167579,DNae001,acetylcholine,left
720575940627368723,DNde005,acetylcholine,left
720575940634253281,DNae003,acetylcholine,left
720575940642894628,DNp34,acetylcholine,left
720575940627366675,DNg72,glutamate,left
720575940616649845,DNpe003,acetylcholine,left
720575940604284128,DNpe009,acetylcholine,right
720575940618203707,DNc02,dopamine,left
720575940622565590,DNge047,dopamine,right
720575940627490459,DNge130,acetylcholine,left
720575940604930481,DNge019,acetylcholine,left
720575940632407826,DNg70,gaba,left
720575940647031860,DNge122,gaba,left
720575940636656632,DNg74_b,gaba,left
720575940623503318,DNg104,octopamine,right
720575940612805118,DNg10,acetylcholine,right
720575940649809273,DNg56,gaba,right
720575940645047831,DNg16,acetylcholine,left
720575940626993694,DNge007,acetylcholine,left
720575940639802685,DNge085,glutamate,left
720575940622248453,DNge148,acetylcholine,left
720575940626859283,DNp60,acetylcholine,right
720575940641833869,DNg73,acetylcholine,right
720575940609260494,DNg14,gaba,right
720575940615378399,DNg83,gaba,right
720575940660229505,DNg31,gaba,right
720575940620153765,DNp10,acetylcholine,left
720575940640194493,DNg08_b,glutamate,right
720575940632178892,DNge147,acetylcholine,right
720575940639314229,DNge141,gaba,left
720575940629064186,DNde003,acetylcholine,right
720575940607378633,DNpe039,acetylcholine,left
720575940628125715,DNg87,acetylcholine,left
720575940628627867,DNbe003,acetylcholine,right
720575940625376062,DNg08_a,gaba,right
720575940625558730,DNbe005,glutamate,right
720575940626834698,DNg12_b,acetylcholine,right
720575940642027464,DNg03,gaba,right
720575940610091955,DNge113,acetylcholine,left
720575940630610042,DNp32,dopamine,right
720575940617140597,DNpe024,acetylcholine,left
720575940632524559,DNg70,gaba,right
720575940639159029,DNg36_a,acetylcholine,left
720575940625253649,DNg12_b,acetylcholine,right
720575940621923837,DNge008,acetylcholine,left
720575940641278965,DNp43,acetylcholine,right
720575940632161311,DNge010,acetylcholine,right
720575940617809181,DNp69,acetylcholine,right
720575940621561697,DNp28,acetylcholine,left
720575940621566844,DNg22,serotonin,left
720575940614909506,DNge123,glutamate,right
